                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6446,                 2.9496,                  1.706,                 1.6984,                  4.295,                  1.575,                0.00399,                0.36862,                0.04561,                0.02149,                 1.4632,                 3.3528,                 1.5518,                 1.4858,                 6.2045,                 1.4423,                0.00012,                0.00012,                0.00012
                      2,                 1.3658,                 2.6968,                 1.5208,                 1.3664,                  4.028,                 1.3896,                 0.0044,                0.40643,                0.06295,                0.03767,                 1.4243,                  3.294,                 1.4665,                 1.3924,                 6.0697,                 1.3191,             0.00025949,             0.00025949,             0.00025949
                      3,                 1.3779,                 2.1514,                 1.5325,                 1.3539,                 3.6175,                 1.3629,                0.00479,                0.44234,                0.08016,                0.04916,                 1.4749,                 3.2281,                 1.4811,                 1.5072,                 6.0495,                 1.3307,             0.00039842,             0.00039842,             0.00039842
                      4,                 1.3932,                 1.9503,                  1.521,                 1.3365,                 3.5289,                 1.3512,                0.00405,                0.37429,                 0.0825,                0.04318,                 1.6361,                 3.2601,                 1.7409,                 1.5559,                 6.1597,                 1.4678,             0.00053679,             0.00053679,             0.00053679
                      5,                 1.3819,                 1.8068,                 1.5032,                 1.3537,                 3.2793,                 1.3426,                0.00499,                0.46125,                0.08524,                0.04282,                  1.588,                 3.1157,                 1.6469,                 1.5706,                 6.0678,                 1.4245,             0.00067461,             0.00067461,             0.00067461
                      6,                 1.3667,                 1.7546,                 1.4885,                 1.4074,                 3.1608,                 1.3698,                0.00515,                0.47637,                0.06812,                0.03364,                 1.7091,                 3.1247,                 1.8916,                 1.6204,                 6.0869,                 1.4871,             0.00081188,             0.00081188,             0.00081188
                      7,                 1.3832,                 1.7541,                 1.5122,                 1.3767,                 3.0457,                 1.3741,                0.00487,                0.44991,                0.05147,                0.02253,                 1.7285,                 3.1595,                 2.0408,                 1.6116,                 6.0739,                 1.6374,              0.0009486,              0.0009486,              0.0009486
                      8,                 1.3931,                 1.7485,                 1.5153,                 1.4199,                 2.9326,                 1.3952,                0.18876,                0.04159,                0.04256,                0.01501,                 1.9486,                 3.5082,                 2.4523,                 1.7899,                 6.2579,                 1.8992,              0.0010848,              0.0010848,              0.0010848
                      9,                 1.3986,                 1.6943,                 1.5146,                 1.4345,                  2.791,                 1.3983,                0.26777,                0.03214,                0.05195,                0.01933,                  1.884,                 3.3491,                 2.1618,                   1.83,                 5.9729,                 1.8041,              0.0012204,              0.0012204,              0.0012204
                     10,                 1.4407,                 1.7047,                 1.5158,                 1.4954,                 2.7039,                 1.4032,                0.13245,                0.03435,                0.02052,                0.00812,                 2.2017,                 3.6601,                 2.6583,                 2.0508,                 6.0735,                  2.116,              0.0013554,              0.0013554,              0.0013554
